Unnamed: 0	title	link	country	date	content
20	 ‘It’s Always Scary’: Ukrainian Army Medics on Life in the Bakhmut ‘Meat Grinder’		Ukraine		"<div id=""post-content"">"
21	 EXPLAINED: Is Someone Trying to Assassinate Belarusian Leader Lukashenko?		Ukraine		"<div id=""post-content"">"
22	 Germany Calls Russian Targeting of Ukraine Energy a “War Crime”		Ukraine		"<div id=""post-content"">"
23	 Pope Francis Stirs Controversy With Latest Ukraine Invasion Comments		Ukraine		"<div id=""post-content"">"
24	 Victims of Rape, Castration Found During Exhumation in Liberated Izyum		Ukraine		"<div id=""post-content"">"
25	 Security Service Detains “Traitors” in Kherson Suspected of Torturing Citizens		Ukraine		"<div id=""post-content"">"
26	 “I was Lucky to Survive” – Interview with Journalist and Mariupol Resident Andriy Marusov		Ukraine		"<div id=""post-content"">"
27	 Ukraine Defiant, Braced for New Wave of Crippling Russian Missile Strikes		Ukraine		"<div id=""post-content"">"
28	 ISW Russian Offensive Campaign Assessment, November 28		Ukraine		"<div id=""post-content"">"
29	 British Defence Intelligence Update Ukraine – 29 November 2022		Ukraine		"<div id=""post-content"">"
30	 Mould and Red Tape: Ukrainians Hosted in UK Struggle To Find Own Housing		Ukraine		"<div id=""post-content"">"
31	 EXPLAINED: The ‘Substantial’ US Aid Package for Ukraine that Could be Announced Today		Ukraine		"<div id=""post-content"">"
32	 Ukraine War Increases Chemical Weapons Threat: Watchdog		Ukraine		"<div id=""post-content"">"
33	 Editor’s Choice: Anne Applebaum – The Russian Empire Must Die		Ukraine		"<div id=""post-content"">"
34	 Fight Like Nato: Ukrainian Infantrymen Reveal What They Need to Defeat Russia		Ukraine		"<div id=""post-content"">"
35	"<span class=""label-title"">OPINION:</span> Yuriy Shukhevych – A Tribute"		Ukraine		"<div id=""post-content"">"
36	 Scholz: Russia Unable to Win War Against Ukraine		Ukraine		"<div id=""post-content"">"
37	 War Propels Environmental Reforms in Ukraine		Ukraine		"<div id=""post-content"">"
38	 ‘Little By Little’: Ukraine Grinds Away on the Northeastern Front		Ukraine		"<div id=""post-content"">"
39	 Odesa Adapts to Power Outages with Tenacity and Irony		Ukraine		"<div id=""post-content"">"
40	 ISW Russian Offensive Campaign Assessment, November 27		Ukraine		"<div id=""post-content"">"
41	 British Defence Intelligence Update Ukraine – 28 November 2022		Ukraine		"<div id=""post-content"">"
42	 EXPLAINED: Why Zelensky Warns of Especially Difficult Week Ahead for Ukraine		Ukraine		"<div id=""post-content"">"
43	 Germany Sends New Batch of Military Aid to Ukraine		Ukraine		"<div id=""post-content"">"
44	 War Crimes Part Of Russia’s War Culture – Ukrainian Nobel Prize Winner		Ukraine		"<div id=""post-content"">"
45	 NYT: Ukraine Firing Thousands of Artillery Rounds a Day		Ukraine		"<div id=""post-content"">"
46	 British Defence Intelligence Update Ukraine – 27 November 2022		Ukraine		"<div id=""post-content"">"
47	 ISW Russian Offensive Campaign Assessment, November 26		Ukraine		"<div id=""post-content"">"
48	 Another 12 Ukrainians Returned From Russian Captivity		Ukraine		"<div id=""post-content"">"
49	"<span class=""label-title"">OPINION:</span> “Waiting for Godot” and Recovery in Ukraine"		Ukraine		"<div id=""post-content"">"
50	 How a Seven-Year-Old Inspired US Ambulances for Ukraine Group		Ukraine		"<div id=""post-content"">"
51	 Stoltenberg Explains Why Talks With Russia Make no Sense Today		Ukraine		"<div id=""post-content"">"
52	 Russian Shelling Kills 15 in Kherson as Ukraine Battles to Restore Power		Ukraine		"<div id=""post-content"">"
53	 Economic Blackout? How Russian Air Raids Affect Ukraine		Ukraine		"<div id=""post-content"">"
54	 British Defence Intelligence Update Ukraine – 26 November 2022		Ukraine		"<div id=""post-content"">"
55	 ISW Russian Offensive Campaign Assessment, November 25		Ukraine		"<div id=""post-content"">"
56	"<span class=""label-title"">OPINION:</span> Russia – A Riddle no More, Finally the Harsh Truth (Part 2: Concluded)"		Ukraine		"<div id=""post-content"">"
57	 “Vladimir, Answer us”: Russian Soldier Mothers Challenge Putin		Ukraine		"<div id=""post-content"">"
58	"<span class=""label-title"">OPINION:</span> The Looming Ghost of Corruption?"		Ukraine		"<div id=""post-content"">"
59	 Watch Entire Towerblocks of Kyiv Residents Cheer When Power Turns On		Ukraine		"<div id=""post-content"">"
60	 “They’re like zombies” – Ukrainian Soldiers Describe Fighting Russians in Donbas		Ukraine		"<div id=""post-content"">"
61	 German MPs to Recognise Stalin Famine in Ukraine as ‘Genocide’		Ukraine		"<div id=""post-content"">"
62	 Ukraine from Space – Incredible NASA Image Shows Devastating Effects of Russian Strikes		Ukraine		"<div id=""post-content"">"
63	 Kherson resident flees liberated home: “Now the Russians are shelling us”		Ukraine		"<div id=""post-content"">"
64	 British Defence Intelligence Update Ukraine – 25 November 2022		Ukraine		"<div id=""post-content"">"
65	 Belarus and Russia Try to Blackmail Ukraine into Peace Talks		Ukraine		"<div id=""post-content"">"
